,NAME,TYPE,QUANTITY,UNIT,MSMT,RCP_ID
1,고구마,고구마죽,100,g,2/3개,1
2,설탕,고구마죽,2,g,1/3작은술,1
3,찹쌀가루,고구마죽,3,g,2/3작은술,1
4,물,고구마죽,200,ml,1컵,1
5,잣,고구마죽,8,g,8알,1
6,애호박,채소준비,30,g,1/6개,2
7,표고버섯,채소준비,20,g,2개,2
8,당근,채소준비,5,g,3×2×1cm,2
9,누룽지,누룽지 죽,70,g,1/3컵,2
10,순두부,누룽지 죽,100,g,1/4모,2
11,달걀,누룽지 죽,50,g,1개,2
12,참기름,누룽지 죽,3,g,2/3작은술,2
13,소금,누룽지 죽,약간,,,2
14,참깨,누룽지 죽,약간,,,2
15,흰 후추,누룽지 죽,약간,,,2
16,식초,배합초,20,g,1⅓큰술,3
17,설탕,배합초,10,g,2작은술,3
18,소금,배합초,약간,,,3
19,달걀노른자,오색지라시,40,g,달걀2개,3
20,표고버섯,오색지라시,10,g,1장,3
21,새송이버섯,오색지라시,20,g,3개,3
22,새우,오색지라시,25,g,4마리,3
23,홍피망,오색지라시,10,g,1/8개,3
24,청피망,오색지라시,10,g,1/8개,3
25,양파,오색지라시,5,g,5×1cm,3
26,대두유,오색지라시,20,g,1⅓큰술,3
27,참기름,오색지라시,10,g,2작은술,3
28,식용유,오색지라시,약간,,,3
29,두부,두부 곤약잡곡밥,110,g,⅓모,4
30,흰쌀,두부 곤약잡곡밥,15,g,,4
31,현미쌀,두부 곤약잡곡밥,3,g,,4
32,찹쌀,두부 곤약잡곡밥,3,g,,4
33,콩나물,나물준비,15,g,15개,4
34,표고버섯,나물준비,4,g,1/2장,4
35,애호박,나물준비,10,g,5×2×1cm,4
36,고사리,나물준비,15,g,7줄기,4
37,당근,나물준비,15,g,5×3×1cm,4
38,소금,나물준비,3,g,2/3작은술,4
39,소금,나물준비,약간(나물데침),,,4
40,초고추장,비빔고추장 소스,5,g,1작은술,4
41,플레인요거트,비빔고추장 소스,10,g,2작은술,4
42,참기름,비빔고추장 소스,2,g,1/3작은술,4
43,새싹채소,곁들임,3,g,,4
44,쌀,흑미밥,90,g,,5
45,닭가슴살,닭가슴살 삶기,40,g,1/3개,5
46,월계수 잎,닭가슴살 삶기,2,,장,5
47,후추,닭가슴살 삶기,약간,,,5
48,숙주,나물준비,20,g,1/20봉지,5
49,토란대,나물준비,20,g,5cm,5
50,달걀,고명,50,g,1개,5
51,대파,고명,10,g,5cm,5
52,들기름,고명,5,g,1작은술,5
53,소금,고명,약간,,,5
54,들깨가루,들깨 소스,15,g,1큰술,5
55,고추기름,들깨 소스,10,g,2작은술,5
56,꿀,들깨 소스,8,g,1⅔작은술,5
57,저염간장,들깨 소스,8,g,1⅔작은술,5
58,밥,취나물밥,210,g,1공기,6
59,다진 쇠고기,취나물밥,20,g,1⅓큰술,6
60,취나물,취나물밥,20,g,8줄기,6
61,다진 양파,취나물밥,5,g,1작은술,6
62,다진마늘,취나물밥,5,g,1작은술,6
63,간장,취나물밥,약간,,,6
64,매실즙,취나물밥,3,g,2/3작은술,6
65,참기름,취나물밥,2,g,1/3작은술,6
66,참깨,취나물밥,5,g,1작은술,6
67,소금,취나물밥,약간,,,6
68,청국장,청국장쌈장,20,g,1⅓큰술,6
69,된장,청국장쌈장,2,g,1/3작은술,6
70,콩가루,청국장쌈장,5,g,1작은술,6
71,멸치가루,청국장쌈장,2,g,1/3작은술,6
72,쌀뜨물,청국장쌈장,30,g,2큰술,6
73,다진 양파,청국장쌈장,7,g,1/2큰술,6
74,다진 호박,청국장쌈장,7,g,1/2큰술,6
75,다진 당근,청국장쌈장,7,g,1/2큰술,6
76,다진 표고버섯,청국장쌈장,7,g,1/2큰술,6
77,다진 호두,청국장쌈장,5,g,1작은술,6
78,참기름,청국장쌈장,2,g,1/3작은술,6
79,잡곡밥,잡곡밥,140,g,2/3공기,7
80,곰취,곰취쌈,30,g,,7
81,소금,곰취쌈,약간,,,7
82,조갯살,해물채소장,10,g,,7
83,새우살,해물채소장,10,g,,7
84,오징어살,해물채소장,15,g,,7
